Alice in Wonderland (2010 film),fantasy film|Film adaptations of Uncle Tom's Cabin,Johnny Depp|Hannah Roberts|Anne Hathaway|Crispin Glover|Marton Csokas|Lindsay Duncan|Eleanor Tomlinson|Frances de la Tour|Matt Lucas|Geraldine James|Alan Rickman|Christopher Lee|Helena Bonham Carter|John Hopkins|Leo Bill|Mia Wasikowska|Michael Gough|Michael Sheen|Paul Whitehouse|Stephen Fry|Tim Pigott-Smith|Timothy Spall|Barbara Windsor,
Alpha and Omega (film),fantasy film|adventure film|comedy film,,
Animals United,fantasy film|children's film,,
Cats & Dogs: The Revenge of Kitty Galore,science fiction film|buddy film|comedy film|comic science fiction|action film,Chris O'Donnell|Jack McBrayer|Fred Armisen|James Marsden|Nick Nolte|Christina Applegate|Katt Williams|Bette Midler|Neil Patrick Harris|Sean Hayes|Michael Clarke Duncan|Wallace Shawn|André Sogliuzzo|Carlos Alazraqui|Elizabeth Daily|J. K. Simmons|Jeff Bennett|Joe Pantoliano|Paul Rodriguez|Phil LaMarr|Rick D. Wasserman|Rita Wilson|Vanessa Hudgens,cat
Cave of Forgotten Dreams,documentary film,Werner Herzog|Dominique Baffier|Jean Clottes,
The Child's Eye,horror film,Rainie Yang|Elanne Kong|Gordon Lam|Jo Kuk|Shawn Yue,
The Chronicles of Narnia: The Voyage of the Dawn Treader,fantasy film|film adaptation|action film,Georgie Henley|Skandar Keynes|Will Poulter|Ben Barnes|Liam Neeson|Simon Pegg|Tilda Swinton|Bruce Spence|William Moseley|Anna Popplewell|Laura Brent|Bille Brown|Douglas Gresham|Megan Young|Nathaniel Parker|Rachel Blakely|Shane Rangi|Steven Rooke|Terry Norris,
Clash of the Titans (2010 film),fantasy film|action film,Sam Worthington|Gemma Arterton|Mads Mikkelsen|Alexa Davalos|Ralph Fiennes|Liam Neeson|Jason Flemyng|Luke Evans|Izabella Miko|Liam Cunningham|Hans Matheson|Ian Whyte|Nicholas Hoult|Vincent Regan|Luke Treadaway|Pete Postlethwaite|Elizabeth McGovern|Martin McCann|Rory McCann|Kaya Scodelario|Alexander Siddig|Danny Huston|Natalia Vodianova|Ashraf Barhom|Mouloud Achour|Nathalie Cox|Polly Walker,
Coyote Falls,,,
The Death of an Insect,,,insect
Despicable Me,comedy film,,
Don Quixote (2010 film),,Guo Tao|Wang Gang|Karena Lam,
Fur of Flying,,,
Garo: Red Requiem,horror film,Ryosei Konishi|Saori Hara|Kanji Tsuda|Akira Nakao|Sachiko Katsumata|Mika Hijii,
Gaturro: The Movie,3D,Mariano Chiesa|Todd Doldersum|Lucila Gómez,
Gulliver's Travels (2010 film),fantasy film|comedy film|children's film|film adaptation|science fiction film,Jack Black|Emily Blunt|Jason Segel|Amanda Peet|Billy Connolly|Catherine Tate|T.J. Miller|Romany Malco|Chris O'Dowd|Tao Okamoto|Hiroyuki Sanada|Rila Fukushima|Emmanuel Quatra|James Corden|Olly Alexander|Forbes KB,
Happy Feet 4-D Experience,,,
How to Train Your Dragon (film),fantasy film|children's film|adventure film|film adaptation,,
Hubble (film),documentary film,Leonardo DiCaprio,
Inazuma Eleven: Saikyō Gundan Ōga Shūrai,,,association football
Iron Doors,thriller film,,
Jackass 3D,comedy film|sports film,Johnny Knoxville|Bam Margera|Ryan Dunn|Steve-O|Jason Acuña|Chris Pontius|Dave England|Tony Hawk|Ehren McGhehey|Preston Lacy|Chris Raab,
King Kong: 360 3-D,science fiction film,,
The Last Airbender,martial arts film|superhero film|kung fu film|children's film|action film|fantasy film,Noah Ringer|Nicola Peltz|Cliff Curtis|Aasif Mandvi|John Noble|Katharine Houghton|Randall Duk Kim|Seychelle Gabriel|Summer Bishil|Dev Patel|Dee Bradley Baker|Shaun Toub|Jackson Rathbone|Thomas J. Walton|Keong Sim|Francis Guinan|Manu Narayan|Jon Trosky,
Legend of the Guardians: The Owls of Ga'Hoole,fantasy film|adventure film|children's film,,
Marvel Super Heroes 4D,,,
Megamind,science fiction film|comedy film,,
Moomins and the Comet Chase,fantasy film,Stellan Skarsgård,
My Soul to Take,horror film|slasher film,Max Thieriot|Denzel Whitaker|Zena Grey|Emily Meade|Jessica Hecht|Frank Grillo|Danai Gurira|Harris Yulin|Raúl Esparza|Shareeka Epps,serial killer|supernatural
Natalie (film),romance film|mystery film|erotic film,Lee Sung-jae|Kim Ji-hun,
Naya Legend of the Golden Dolphins,fiction film,Quvenzhané Wallis,
The Nutcracker in 3D,fantasy film|musical film|Christmas film|family film|fantasy|adventure,Elle Fanning|Charlie Rowe|John Turturro|Frances de la Tour|Nathan Lane|Shirley Henderson|Richard E. Grant|Julia Vysotskaya,
Open Season 3,buddy film|children's film,,
Phish 3D,,Trey Anastasio,
Piranha 3D,thriller|comedy horror|science fiction film,Elisabeth Shue|Adam Scott|Jerry O'Connell|Ving Rhames|Jessica Szohr|Steven R. McQueen|Christopher Lloyd|Richard Dreyfuss|Kelly Brook|Brooklynn Proulx|Dina Meyer|Ricardo Antonio Chavira|Riley Steele|Eli Roth|Ashlynn Brooke|Gianna Michaels,
Rabid Rider,,,
